Close Price,High Price,Low Price,Open Price,Date
582.74,586.19,581.6,584.64,2014-05-09
590.26,590.73,587.415,587.54,2014-05-12
592.6,593.19,590.76,592.05,2014-05-13
595.435,595.7,592.2,592.2,2014-05-14
593.15,596.56,592.51,594.42,2014-05-15
586.41,590.04,586.22,588.63,2014-05-16
604.3,605.64,597.46,597.47,2014-05-19
605.27,606.15,603.02,604.6,2014-05-20
603.94,605.59,603.08,603.88,2014-05-21
604.965,607.84,604.81,606.55,2014-05-22
608.52,608.91,606.85,607,2014-05-23
620.08,620.73,616.01,616.01,2014-05-27
628.87,629.49,624.83,626.12,2014-05-28
629.7,630.555,627.85,628.03,2014-05-29
637.95,638.74,635.26,637.73,2014-05-30
627.75,634.8,626.47,633.91,2014-06-02
636.78,637.82,628.26,628.49,2014-06-03
640.46,642,636.18,637.75,2014-06-04
645.54,649.35,645.29,646.3,2014-06-05
647.69,650.49,645.9,649.88,2014-06-06
92.15,93.06,92.07,92.69,2014-06-09
94.39,95.04,94.14,94.59,2014-06-10
94.68,94.7,93.91,94.11,2014-06-11
93.785,94.12,93.31,94.03,2014-06-12
91.32,92.43,91.28,92.18,2014-06-13
92.29,92.38,91.5,91.54,2014-06-16
92.31,92.7,91.86,92.36,2014-06-17
91.64,92.28,91.475,92.25,2014-06-18
91.92,92.3,91.91,92.3,2014-06-19
92.35,92.55,91.48,91.85,2014-06-20
90.71,91.62,90.6,91.33,2014-06-23
91.34,91.42,90.64,90.77,2014-06-24
90.25,90.7,89.66,90.21,2014-06-25
89.93,90.53,89.8,90.37,2014-06-26
91.75,91.795,90.77,90.82,2014-06-27
92.65,92.83,92.1,92.1,2014-06-30
93.55,93.78,93.14,93.52,2014-07-01
93.84,94.06,93.66,93.85,2014-07-02
93.49,93.7,93.22,93.67,2014-07-03
94.88,94.99,94.13,94.14,2014-07-07
95.89,96.8,95.725,96.22,2014-07-08
95.6,95.95,95.21,95.45,2014-07-09
94.255,94.39,93.52,93.76,2014-07-10
95.46,95.62,94.97,95.37,2014-07-11
96.43,96.67,95.65,95.86,2014-07-14
96.38,96.85,96.25,96.81,2014-07-15
96.435,97.09,96.27,97.02,2014-07-16
94.7,95.275,94.57,95.04,2014-07-17
93.12,93.8,93.04,93.62,2014-07-18
94.2,95,94.09,94.99,2014-07-21
94.5,94.865,94.15,94.71,2014-07-22
96.51,96.54,95.17,95.44,2014-07-23
96.55,97.32,96.55,97.06,2014-07-24
97.35,97.51,96.65,96.92,2014-07-25
98.05,98.39,97.55,97.82,2014-07-28
98.68,99.44,98.55,99.33,2014-07-29
98.2,98.69,98.18,98.425,2014-07-30
96.66,97.45,96.26,97.17,2014-07-31
95.85,96.15,94.82,94.99,2014-08-01
96.35,96.57,96.01,96.37,2014-08-04
94.525,95.44,94.37,95.37,2014-08-05
95.04,95.48,94.72,94.76,2014-08-06
95.06,95.25,94.72,94.92,2014-08-07
94.1,94.45,93.6,94.25,2014-08-08
95.71,95.73,94.84,95.27,2014-08-11
96.675,96.88,96.11,96.21,2014-08-12
96.4,96.51,96.05,96.18,2014-08-13
97.31,97.445,96.8,97.35,2014-08-14
97.91,97.96,97.46,97.855,2014-08-15
98.68,98.82,97.98,98.45,2014-08-18
99.89,99.89,99.32,99.4,2014-08-19
100.4,100.77,100.25,100.46,2014-08-20
100.45,100.78,100.35,100.57,2014-08-21
100.63,100.92,100.2,100.28,2014-08-22
101.91,102.17,101.695,101.8,2014-08-25
101.01,101.5,100.87,101.43,2014-08-26
100.83,101.17,100.7,101.02,2014-08-27
102.41,102.54,101.59,101.59,2014-08-28
102.485,102.895,102.35,102.82,2014-08-29
103.34,103.34,102.75,103.04,2014-09-02
100.8,103.14,99.905,103.1,2014-09-03
99.8,99.86,97.79,98.88,2014-09-04
98.96,99.25,98.45,98.8,2014-09-05
98.93,99.29,98.64,99.29,2014-09-08
99.44,99.6,98.87,99.1,2014-09-09
97.92,99.29,97.8,98.01,2014-09-10
100.34,100.84,100.12,100.45,2014-09-11
101.35,101.79,101.08,101.24,2014-09-12
101.98,103,101.64,102.82,2014-09-15
99.88,100.53,98.9,99.8,2014-09-16
101.45,101.69,101.1,101.32,2014-09-17
102.15,102.35,101.85,101.98,2014-09-18
101.89,102.35,101.72,102.24,2014-09-19
101.535,102.14,101.33,101.75,2014-09-22
101.94,101.99,100.54,100.625,2014-09-23
101.91,102.85,101.75,102.14,2014-09-24
99.53,100.71,99.11,100.51,2014-09-25
99.77,99.87,98.43,98.53,2014-09-26
99.34,99.43,98.7,98.79,2014-09-29
100.74,101.42,100.53,100.81,2014-09-30
99.67,100.69,99.5,100.58,2014-10-01
98.98,99.76,98.89,99.32,2014-10-02
100.07,100.12,99.05,99.44,2014-10-03
100.51,100.64,99.82,99.96,2014-10-06
99.85,100.12,99.4,99.4,2014-10-07
98.5,99.36,98.42,98.75,2014-10-08
101.865,101.97,101.28,101.5,2014-10-09
101.29,101.89,100.5,100.7,2014-10-10
101.3,101.78,100.895,101.34,2014-10-13
99.59,100.52,98.89,100.39,2014-10-14
98.8,99.15,97.81,97.99,2014-10-15
96.07,96.75,95.44,95.55,2014-10-16
97.41,97.74,96.83,97.54,2014-10-17
99.285,99.32,98.31,98.325,2014-10-20
101.65,103,101.53,102.99,2014-10-21
103.26,103.44,102.61,102.88,2014-10-22
104.27,104.34,103.65,103.97,2014-10-23
104.715,105.49,104.57,105.13,2014-10-24
104.88,105.35,104.71,104.97,2014-10-27
106.07,106.17,105.35,105.45,2014-10-28
106.78,107.23,106.65,106.65,2014-10-29
106.94,107.29,106.79,106.95,2014-10-30
107.45,108.04,107.31,108,2014-10-31
109.11,109.12,108.02,108.22,2014-11-03
109.04,109.47,108.7,109.47,2014-11-04
108.7,109.22,108.13,109.2,2014-11-05
108.11,108.65,108.05,108.6,2014-11-06
109.23,109.32,108.605,108.75,2014-11-07
109.08,109.24,108.9,108.97,2014-11-10
108.55,108.89,108.4,108.76,2014-11-11
110.27,110.46,109.38,109.38,2014-11-12
112.655,112.7,111.6,111.8,2014-11-13
113.44,113.63,113.08,113.18,2014-11-14
114.71,114.95,114.03,114.31,2014-11-17
114.58,114.68,113.89,113.96,2014-11-18
